SP ID,EgoNetworksCombined,Full Name,Occupation,Political rank,Military rank,Aristo title,Clerical title,Knowledge Network,Social Network,Professional Network,Religious Network,Academies,Royal Academy,Institut de France,Academy_single,Academiy_single_provincial,Salons,Freemason,Jacobin,SociÈtÈ des Trente,Lodge,GenderGroup,Nationality,Birth Year,Death Year,Birth City,Birth Country,Death City,Death Country,LockeNet,ASmithNet,VoltaireNet,RousseauNet,D'AlembertNet,HumeNet,BenthamNet,Column6,Wikipedia Image Link,VIAF ID,VIAF URL,RecipientLetterCount by EE ID,AuthorLetterCount by EE ID,Total Letters
1000,Arnould,Pierre Augustin Caron de Beaumarchais,"playwright,government agent",,,,,Letters_Literary,"Government, Elite, Court",Cultural,,,,,,,Arnould,,,,,Male,French,1732,1799,Paris,France,Paris,France, , , , , , , ,,upload.wikimedia.org/wikipedia/commons/thumb/a/ae/D%27apr%C3%A8s_Jean-Marc_Nattier%2C_Portrait_de_Pierre-Augustin_Caron_de_Beaumarchais_%28Biblioth%C3%A8que-mus%C3%A9e_de_la_Com%C3%A9die-Fran%C3%A7aise%29_-001.jpg/250px-D%27apr%C3%A8s_Jean-Marc_Nattier%2C_Portrait_de_Pierre-Augustin_Caron_de_Beaumarchais_%28Biblioth%C3%A8que-mus%C3%A9e_de_la_Com%C3%A9die-Fran%C3%A7aise%29_-001.jpg,29529962,http://viaf.org/29529962,0,0,0
1001,"Voltaire, Arnould",Claude Joseph Dorat,"poet,author,playwright",,,,,Letters_Literary,"Military, Aristoracy, Elite","Artist, Cultural",,,,,,,Arnould,,,,,Male,French,1734,1780,Paris,France,,unknown, , ,Voltaire, , , , ,,upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Dorat_les_Pr%C3%B4neurs_ou_le_Tartuffe_litt%C3%A9raire_frontispice_EO_Delalain_1777.jpg/115px-Dorat_les_Pr%C3%B4neurs_ou_le_Tartuffe_litt%C3%A9raire_frontispice_EO_Delalain_1777.jpg,46760144,http://viaf.org/46760144,8,4,12
1002,"Voltaire, Rousseau, Arnould",Claude Carloman de Rulhière,"army officer,diplomat,soldier,academy member,author",diplomat,officer,,,Letters_Literary,"Military, Government, Aristoracy, Elite",,,French Academy,Yes,,Yes,,Arnould,,,,,Male,French,1735,1791,,France,,unknown, , ,Voltaire,Rousseau, , , ,,,59160459,http://viaf.org/59160459,2,3,5
1003,"Voltaire, Arnould",Simon Nicolas Henri Linguet,"journalist,revolutionary",,,,,Political Economy,Elite,"Cultural, Legal",,,,,,,Arnould,,,,,Male,French,1736,1794,Reims,France,Paris,France, , ,Voltaire, , , , ,,upload.wikimedia.org/wikipedia/commons/thumb/2/29/Simon-Nicholas_Henri_Linguet_%281736-1794%29%2C_French_journalist_and_advocate.jpg/220px-Simon-Nicholas_Henri_Linguet_%281736-1794%29%2C_French_journalist_and_advocate.jpg,7393445,http://viaf.org/7393445,4,4,8
1004,"Voltaire, D'Alembert, Hume, Voltaire, Arnould, Epinay, Quinault, Dupin, Boufflers, Necker, Holbach, Encyclopedistes",Jean-Jacques Rousseau,"author,philosopher",,,,,"Letters_Philosophical, Letters_Literary",Elite,,,,,,,,"Arnould, Epinay, Quinault, Dupin, Boufflers, Necker, Holbach",,,,,Male,Swiss,1712,1778,Geneva,Switzerland,Ermenonville,France, , ,Voltaire, ,D'Alembert,Hume, ,,upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Jean-Jacques_Rousseau_%28painted_portrait%29.jpg/220px-Jean-Jacques_Rousseau_%28painted_portrait%29.jpg,100184045,http://viaf.org/100184045,2455,2284,4739
1005,"Voltaire, Arnould",Louis Petit de Bachaumont,author,,,,,Letters_Literary,"Nobility, Elite",,,,,,,,Arnould,,,,,Male,French,1690,1771,Paris,France,Paris,France, , ,Voltaire, , , , ,,upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Bachaumont.jpg/220px-Bachaumont.jpg,29558790,http://viaf.org/29558790,1,0,1
1006,Arnould,Christoph Willibald von Gluck,composer,,,,,,"Nobility, Elite",Artist,,,,,,,Arnould,,,,,Male,German,1714,1787,Erasbach,Germany,Vienna,Austria, , , , , , , ,,upload.wikimedia.org/wikipedia/commons/thumb/8/80/Joseph-Sifr%C3%A8de_Duplessis_001.jpg/220px-Joseph-Sifr%C3%A8de_Duplessis_001.jpg,37101876,http://viaf.org/37101876,0,0,0
1007,"Voltaire, Geoffrin",Henri François D'Aguesseau,statesman,minister,,,,,"Elite, Government, Nobility",,,AcadÈmie des sciences,Yes,,Yes,,"Bolingbroke, Geoffrin",,,,,Male,French,1668,1751,Limoges,France,Paris,France, , ,Voltaire, , , , ,,http://upload.wikimedia.org/wikipedia/commons/7/7e/Henri_Fran%C3%A7ois_d%27Aguesseau.jpg,73848894,http://viaf.org/73848894,2,4,6
1008,Boufflers,Marie Anne de Bourbon,aristocrat,,,,,,"Nobility, Elite, Court",,,,,,,,Boufflers,,,,,Female,French,,1739,Ch‚teau de Vincennes,France,Paris,France,,,,,,,,,,,,,,
1009,Lambert,Johann Samuel Kˆnig,,,,,,Sciences_Mathematical,Elite,Education,,AcadÈmie des sciences,Yes,,Yes,,Chatelet_Lambert,,,,,Male,German,1712,1757,B¸dingen,Germany,,,,,,,,,,,,66494565,https://viaf.org/viaf/66494565/,,,
1010,Deffand,Marie Anne Harenc,wife of a banker,,,,,,Elite?,,,,,,,,Deffand,,,,,Female,French,,,,,,,,,,,,,,,,,,,,
1011,"Lespinasse, Deffand",Monsieur de Mirepoix (Gaston Pierre de LÈvis-Mirepoix),aristocrat,,,,,,"Nobility, Military, Elite",,,,,,,,"Deffand_SaintJoseph, Lespinasse",,,,,Male,French,1699,1757,Belleville,France,Montpellier,France,,,,,,,,,,,,,,
1012,Deffand,Lord Taaffe - Are we sure Lord Taaffe is Nicolas Taaffe?,aristocrat,,,,,,"Nobility, Elite, Military, Court",,,,,,,,Deffand_SaintJoseph,,,,,Male,Irish?,,,,,,,,,,,,,,,,,,,,
1013,Deffand,François de Crussol d'Uzès d'Amboise,archevêque de Toulouse,,,,archevêque,,"Nobility, Elite ",,Catholic_High-ranking officials,,,,,,Deffand_SaintJoseph,,,,,Male,French,,,,,,,,,,,,,,,,,,,,
1014,Deffand,Pierre Simon Fournier,,,,,,"Letters_Literary, Collector",Elite,"Artisan, Publishing",,,,,,,Deffand_SaintJoseph,,,,,Male,French,1712,1768,Paris,France,,,,,,,,,,,,44406033,https://viaf.org/viaf/44406033/,,,
1015,"D'Alembert, Deffand, Lespinasse, Geoffrin",Jeanne Julie …lÈonore de Lespinasse,salon hostess,,,,,Letters_Literary,Elite,,,,,,,,"Deffand, Lespinasse, Geoffrin",,,,,Female,French,1732,1776,Lyons,France,Paris,France, , , , , , , ,,http://upload.wikimedia.org/wikipedia/commons/8/86/Julie_de_Lespinasse.jpg,4932664,http://viaf.org/4932664,3,8,11
1016,Dupin,Lady Caroline Hervey,aristocrat,,,,,,"Nobility, Elite, Court",,,,,,,,Dupin,,,,,Female,English,1736,1819,,England,,unknown, , , , , , , ,,,,,1,0,1
1017,"Voltaire, Dupin","Philippe II, duc d'OrlÈans","aristocrat,regent",,,duc,,,"Nobility, Government, Military, Elite",,,,,,,,Dupin,,,,,Male,French,1674,1723,,France,,unknown, , ,Voltaire, , , , ,,,71395774,http://viaf.org/71395774,1,2,3
1018,"Voltaire, Lambert, Dupin",Pierre Joseph Thoulier d'Olivet,"academy member,grammarian",,,,abbÈ,Letters_Literary,"Nobility, Elite ",Cultural,Catholic_Clergy,French Academy,Yes,,Yes,,"Lambert, Dupin",,,,,Male,French,1682,1768,Salins-les-Bains,France,Paris,France, , ,Voltaire, , , , ,,upload.wikimedia.org/wikipedia/commons/thumb/c/c2/L%27abb%C3%A9_d%27Olivet_after_Carle_van_Loo.jpg/220px-L%27abb%C3%A9_d%27Olivet_after_Carle_van_Loo.jpg,99337414,http://viaf.org/99337414,54,20,74
