SP ID,Salons
1000,Arnould
1001,Arnould
1002,Arnould
1003,Arnould
1004,Arnould
1005,Arnould
1006,Arnould
1007,Bolingbroke
1008,Boufflers
1009,Chatelet_Lambert
1010,Deffand
1011,Deffand_SaintJoseph
1012,Deffand_SaintJoseph
1013,Deffand_SaintJoseph
1014,Deffand_SaintJoseph
1015,Deffand
1016,Dupin
1017,Dupin
1018,Lambert
1019,Geoffrin
1020,Dupin
1021,Dupin
1022,Dupin
1023,Dupin
1024,Dupin
1025,Dupin
1026,Dupin
1027,Dupin
1028,Dupin
1029,Dupin
1030,Dupin
1031,Dupin
1032,Dupin
1033,
1034,
1035,
1036,
1037,
1038,
1039,
1040,
1041,
1042,Geoffrin_dinner
1043,
1044,
1045,
1046,
1047,
1048,
1049,
1050,
1051,
1052,
1053,
1054,
1055,
1056,
1057,
1058,
1059,
1060,
1061,
1062,
1063,
1064,
1065,
1066,
1067,
1068,
1069,
1070,
1071,
1072,
1073,
1074,
1075,
1076,
1077,
1078,
1079,
1080,
1081,
1082,
1083,
1084,
1085,
1086,
1087,
1088,
1089,Stael
1090,
1091,
1092,
1093,
1094,
1095,
1096,
1097,
1098,
1099,
1100,
1101,
1102,
1103,
1104,
1105,
1106,
1107,
1108,
1109,
1110,
1111,
1112,
1113,
1114,Holbach
1115,
1116,Holbach
1117,
1118,
1119,
1120,
1121,
1122,
1123,
1124,
1125,
1126,
1127,
1128,
1129,Holbach
1130,Holbach
1131,
1132,
1133,
1134,
1135,Holbach
1136,
1137,
1138,Holbach
1139,
1140,
1141,
1142,
1143,
1144,
1145,
1146,
1147,
1148,
1149,
1150,Dupin
1151,Epinay
1152,
1153,Geoffrin
1154,Graffigny
1155,Graffigny
1156,Deffand
1157,Holbach
1158,Holbach
1159,Holbach
1160,Holbach
1161,Entresol
1162,Entresol
1163,Entresol
1164,Entresol
1165,Entresol
1166,Entresol
1167,Entresol
1168,Epinay
1169,Epinay
1170,Epinay
1171,Epinay
1172,Epinay
1173,Epinay
1174,Epinay
1175,Genlis_Arsenal
1176,Genlis_Arsenal
1177,Genlis_Arsenal
1178,Genlis_Arsenal
1179,Genlis_Arsenal
1180,Genlis_Arsenal
1181,Genlis_Arsenal
1182,Genlis_Arsenal
1183,Genlis_Arsenal
1184,Genlis_Arsenal
1185,Genlis_Arsenal
1186,Genlis_Arsenal
1187,Genlis_Arsenal
1188,Genlis_Arsenal
1189,Genlis_Arsenal
1190,Genlis_Arsenal
1191,Genlis_Arsenal
1192,Genlis_Arsenal
1193,Genlis_Arsenal
1194,Genlis_Arsenal
1195,Genlis_Arsenal
1196,Genlis_Arsenal
1197,Genlis_Arsenal
1198,Genlis_Arsenal
1199,Genlis_Arsenal
1200,Genlis_Arsenal
1201,Genlis_Arsenal
1202,Genlis_Arsenal
1203,Genlis_Arsenal
1204,Genlis_Arsenal
1205,Genlis_Arsenal
1206,Geoffrin
1207,Geoffrin
1208,Geoffrin
1209,Geoffrin
1210,DeLaMarck
1211,DeLaMarck
1212,DeLaMarck
1213,LaReyniere
1214,LaReyniere
1215,LaReyniere
1216,LaReyniere
1217,LaReyniere
1218,LaReyniere
1219,LaReyniere
1220,LaReyniere
1221,LaReyniere
1222,Necker
1223,Necker
1224,Stormont
1225,Stormont
1226,Geoffrin_dinner
1227,Necker_dinner
1228,Trudaine
1229,Trudaine
1230,Geoffrin
1231,Geoffrin
1232,Geoffrin
1233,Geoffrin
1234,Geoffrin
1235,Geoffrin
1236,Geoffrin
1237,Geoffrin
1238,Geoffrin
1239,Geoffrin
1240,Geoffrin
1241,Geoffrin
1242,Geoffrin
1243,Geoffrin
1244,Geoffrin
1245,Geoffrin
1246,Geoffrin
1247,Geoffrin
1248,Geoffrin
1249,Geoffrin
1250,Geoffrin
1251,Geoffrin
1252,Geoffrin
1253,Geoffrin
1254,Geoffrin
1255,Geoffrin
1256,Geoffrin
1257,Geoffrin
1258,Geoffrin
1259,Geoffrin
1260,Geoffrin
1261,Geoffrin
1262,Geoffrin
1263,Geoffrin
1264,Geoffrin
1265,Geoffrin
1266,Geoffrin
1267,Geoffrin
1268,Geoffrin
1269,Geoffrin
1270,Geoffrin
1271,Geoffrin
1272,Geoffrin
1273,Geoffrin
1274,Geoffrin
1275,Geoffrin
1276,Geoffrin
1277,Geoffrin
1278,Geoffrin
1279,Geoffrin
1280,Geoffrin
1281,Geoffrin
1282,Geoffrin
1283,Geoffrin
1284,Geoffrin
1285,Geoffrin
1286,Geoffrin
1287,Graffigny
1288,Graffigny
1289,Graffigny
1290,Graffigny
1291,Graffigny
1292,Graffigny
1293,Graffigny
1294,Graffigny
1295,Graffigny
1296,Graffigny
1297,Graffigny_dEnfer
1298,Graffigny_dEnfer
1299,Graffigny_dEnfer
1300,Graffigny_dEnfer
1301,Graffigny_dEnfer
1302,Graffigny_dEnfer
1303,Graffigny_dEnfer
1304,Graffigny_dEnfer
1305,Graffigny_dEnfer
1306,Graffigny_dEnfer
1307,Graffigny_dEnfer
1308,Graffigny_dEnfer
1309,Graffigny_dEnfer
1310,Graffigny_dEnfer
1311,Graffigny_dEnfer
1312,Graffigny_dEnfer
1313,Graffigny_dEnfer
1314,Graffigny_dEnfer
1315,Graffigny_dEnfer
1316,Graffigny_dEnfer
1317,Graffigny_dEnfer
1318,Graffigny_dEnfer
1319,Graffigny_dEnfer
1320,Graffigny_dEnfer
1321,Graffigny_dEnfer
1322,Graffigny_dEnfer
1323,Graffigny_dEnfer
1324,Graffigny_dEnfer
1325,Graffigny_dEnfer
1326,Graffigny_dEnfer
1327,Graffigny_dEnfer?
1328,Graffigny_Luneville
1329,Graffigny_Luneville
1330,Graffigny_Luneville
1331,Graffigny_Luneville
1332,Graffigny_Luneville
1333,Graffigny_Luneville
1334,Graffigny_Luneville
1335,Graffigny_Luneville
1336,Deffand
1337,Graffigny_Luneville
1338,Graffigny_Luneville
